"Activity 
2_DC Rollover IRA *4915 
as of 02/04/2026 at 11:21:41 AM"

Date,Description,Symbol,Quantity,Price,Amount,Cash Balance,Commission,Fees,Account,Settlement Date,Type
Oct-30-2025,YOU SOLD,GH,-50,93.78,"4,689.00","+303,423.43",--,--,2_DC Rollover IRA *4915,Oct-31-2025,Cash
Oct-30-2025,YOU SOLD,GH,-100,90.77,"9,077.08","+298,734.43",--,--,2_DC Rollover IRA *4915,Oct-31-2025,Cash
Oct-30-2025,YOU SOLD,GH,-100,93.64,"9,363.50","+289,657.35",--,--,2_DC Rollover IRA *4915,Oct-31-2025,Cash
Oct-30-2025,YOU SOLD,AVAV,-150,364.78,"54,717.00","+280,293.85",--,--,2_DC Rollover IRA *4915,Oct-31-2025,Cash
Oct-28-2025,YOU SOLD,GE,-150,311.49,"46,723.89","+225,576.85",--,--,2_DC Rollover IRA *4915,Oct-29-2025,Cash
Oct-28-2025,YOU SOLD,DUK,-0.369,126.25,46.58,"+178,852.96",--,--,2_DC Rollover IRA *4915,Oct-29-2025,Cash
Oct-28-2025,YOU SOLD,DUK,-250,126.26,"31,563.88","+178,806.38",--,--,2_DC Rollover IRA *4915,Oct-29-2025,Cash
Oct-27-2025,YOU BOUGHT,GH,300,71.92,"-21,574.50","+147,242.50",--,--,2_DC Rollover IRA *4915,Oct-28-2025,Cash
Oct-27-2025,YOU SOLD,GH,-0.778,70.27,54.67,"+168,817.00",--,--,2_DC Rollover IRA *4915,Oct-28-2025,Cash
Oct-27-2025,YOU SOLD,GH,-293,70.27,"20,589.11","+168,762.33",--,--,2_DC Rollover IRA *4915,Oct-28-2025,Cash
Oct-27-2025,YOU BOUGHT,GE,100,312.02,"-31,201.64","+148,173.22",--,--,2_DC Rollover IRA *4915,Oct-28-2025,Cash
Oct-24-2025,YOU BOUGHT,SNOW,220,259.04,"-56,988.80","+179,374.86",--,--,2_DC Rollover IRA *4915,Oct-27-2025,Cash
Oct-24-2025,YOU BOUGHT,AVAV,150,376.76,"-56,513.99","+236,363.66",--,--,2_DC Rollover IRA *4915,Oct-27-2025,Cash
Oct-22-2025,YOU SOLD,AAPL,-200,260.10,"52,019.00","+292,877.65",--,--,2_DC Rollover IRA *4915,Oct-23-2025,Cash
Oct-22-2025,YOU SOLD,AMD,-1,225.91,225.91,"+240,858.65",--,--,2_DC Rollover IRA *4915,Oct-23-2025,Cash
Oct-22-2025,YOU SOLD,AMD,-9,225.90,"2,033.10","+240,632.74",--,--,2_DC Rollover IRA *4915,Oct-23-2025,Cash
Oct-22-2025,YOU SOLD,AMD,-20,225.89,"4,517.80","+238,599.64",--,--,2_DC Rollover IRA *4915,Oct-23-2025,Cash
Oct-22-2025,YOU SOLD,AMD,-70,225.88,"15,811.60","+234,081.84",--,--,2_DC Rollover IRA *4915,Oct-23-2025,Cash
Oct-21-2025,YOU BOUGHT,GE,200,315.27,"-63,053.14","+218,270.24",--,--,2_DC Rollover IRA *4915,Oct-22-2025,Cash
Oct-21-2025,YOU SOLD,BABA,-300,166.50,"49,950.00","+281,323.38",--,--,2_DC Rollover IRA *4915,Oct-22-2025,Cash
Oct-20-2025,YOU BOUGHT,AAPL,200,264.10,"-52,819.60","+231,373.38",--,--,2_DC Rollover IRA *4915,Oct-21-2025,Cash
Oct-20-2025,YOU BOUGHT,BABA,300,171.78,"-51,533.01","+284,192.98",--,--,2_DC Rollover IRA *4915,Oct-21-2025,Cash
Oct-17-2025,YOU BOUGHT,WMT,214,107.07,"-22,913.84","+335,725.99",--,--,2_DC Rollover IRA *4915,Oct-20-2025,Cash
Oct-17-2025,YOU SOLD,GH,-600,64.33,"38,598.00","+358,639.83",--,--,2_DC Rollover IRA *4915,Oct-20-2025,Cash
Oct-17-2025,YOU SOLD,BWXT,-275,202.03,"55,558.25","+320,041.83",--,--,2_DC Rollover IRA *4915,Oct-20-2025,Cash
Oct-17-2025,YOU BOUGHT,AMD,69,234.19,"-16,159.11","+264,483.58",--,--,2_DC Rollover IRA *4915,Oct-20-2025,Cash
Oct-17-2025,YOU BOUGHT,AMD,0.7,234.24,-163.96,"+280,642.69",--,--,2_DC Rollover IRA *4915,Oct-20-2025,Cash
Oct-17-2025,YOU SOLD,AMD,-42,230.23,"9,669.66","+280,806.65",--,--,2_DC Rollover IRA *4915,Oct-20-2025,Cash
Oct-17-2025,YOU SOLD,AMD,-58,230.21,"13,352.18","+271,136.99",--,--,2_DC Rollover IRA *4915,Oct-20-2025,Cash
Oct-16-2025,YOU SOLD,WMT,-100,106.56,"10,656.50","+257,784.81",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU SOLD,WMT,-106,106.57,"11,296.42","+247,128.31",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU SOLD,WMT,-344,106.56,"36,656.64","+235,831.89",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU BOUGHT,SNOW,242,247.44,"-59,879.27","+199,175.25",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU BOUGHT,SNOW,0.827,247.22,-204.45,"+259,054.52",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU SOLD,SNOW,-0.827,240.10,198.56,"+259,258.97",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU SOLD,SNOW,-242,240.12,"58,108.34","+259,060.41",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU BOUGHT,GH,893,67.18,"-59,987.63","+200,952.07",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU BOUGHT,GH,0.788,67.17,-52.93,"+260,939.70",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU BOUGHT,DUK,232,129.18,"-29,968.60","+260,992.63",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU BOUGHT,DUK,0.126,129.24,-16.28,"+290,961.23",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU BOUGHT,DASH,212,281.93,"-59,769.16","+290,977.51",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU BOUGHT,DASH,0.819,282.36,-231.25,"+350,746.67",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU SOLD,DASH,-0.819,272.08,222.83,"+350,977.92",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU SOLD,DASH,-212,272.08,"57,680.98","+350,755.09",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU BOUGHT,BWXT,143,209.45,"-29,951.21","+293,074.11",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU BOUGHT,BWXT,0.014,209.29,-2.93,"+323,025.32",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-16-2025,YOU SOLD,VIK,"-1,000",60.87,"60,873.00","+323,028.25",--,--,2_DC Rollover IRA *4915,Oct-17-2025,Cash
Oct-15-2025,YOU SOLD,HOOD,-420,137.15,"57,604.89","+262,155.25",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU SOLD,BWXT,-150,209.21,"31,381.40","+204,550.36",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU BOUGHT,AREC,"6,000",6.21,"-37,259.40","+173,168.96",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU BOUGHT,AREC,"1,500",5.87,"-8,805.15","+210,428.36",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU BOUGHT,AREC,"1,500",5.87,"-8,805.15","+219,233.51",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU SOLD,AREC,"-9,000",4.90,"44,100.00","+228,038.66",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU BOUGHT,AMD,255,234.94,"-59,909.70","+183,938.66",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU BOUGHT,AMD,0.373,234.97,-87.64,"+243,848.36",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU SOLD,AMD,-30,235.93,"7,077.90","+243,936.00",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU SOLD,AMD,-95,235.95,"22,415.25","+236,858.10",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU BOUGHT,CRML,"2,500",26.55,"-66,385.50","+214,442.85",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU SOLD,CRML,-100,22.93,"2,293.00","+280,828.35",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU SOLD,CRML,-100,22.94,"2,294.00","+278,535.35",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU SOLD,CRML,-100,22.96,"2,296.00","+276,241.35",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU SOLD,CRML,-200,22.95,"4,590.00","+273,945.35",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU SOLD,CRML,-200,22.97,"4,594.00","+269,355.35",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-15-2025,YOU SOLD,CRML,"-1,800",22.90,"41,220.00","+264,761.35",--,--,2_DC Rollover IRA *4915,Oct-16-2025,Cash
Oct-14-2025,YOU BOUGHT,WMT,566,105.79,"-59,877.14","+223,541.35",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU BOUGHT,WMT,0.947,105.80,-100.19,"+283,418.49",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU BOUGHT,HOOD,420,140.23,"-58,895.97","+283,518.68",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU BOUGHT,PLTR,177,180.68,"-31,980.36","+342,414.65",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU BOUGHT,PLTR,0.109,180.66,-19.69,"+374,395.01",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU SOLD,PLTR,-0.109,179.79,19.60,"+374,414.70",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU SOLD,PLTR,-27,179.80,"4,854.60","+374,395.10",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU SOLD,PLTR,-150,179.71,"26,956.50","+369,540.50",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU BOUGHT,BWXT,300,204.33,"-61,299.00","+342,584.00",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU BOUGHT,AREC,"5,000",5.78,"-28,885.00","+403,883.00",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU SOLD,AREC,-500,6.52,"3,260.00","+432,768.00",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU SOLD,AREC,"-1,000",6.96,"6,960.00","+429,508.00",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU SOLD,AREC,"-1,500",6.52,"9,774.75","+422,548.00",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU SOLD,AREC,"-2,000",6.00,"11,990.00","+412,773.25",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-14-2025,YOU BOUGHT,VIK,"1,000",61.89,"-61,887.60","+400,783.25",--,--,2_DC Rollover IRA *4915,Oct-15-2025,Cash
Oct-10-2025,YOU SOLD,ZS,-203,310.85,"63,102.96","+462,670.85",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU BOUGHT,ORCL,45,301.19,"-13,553.55","+399,567.89",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,ORCL,-45,292.66,"13,169.70","+413,121.44",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU BOUGHT,NVDA,189,190.09,"-35,926.97","+399,951.74",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,NVDA,-25,187.13,"4,678.25","+435,878.71",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,NVDA,-140,187.13,"26,198.26","+431,200.46",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,NVDA,-378,186.20,"70,383.60","+405,002.20",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU BOUGHT,DUK,276,126.77,"-34,987.83","+334,618.60",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU BOUGHT,DUK,0.243,126.78,-30.81,"+369,606.43",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU BOUGHT,DGXX,"5,900",3.12,"-18,408.00","+369,637.24",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU BOUGHT,DGXX,"3,200",3.12,"-10,000.00","+388,045.24",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU BOUGHT,DGXX,800,3.13,"-2,504.00","+398,045.24",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU BOUGHT,DGXX,100,3.13,-312.99,"+400,549.24",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,DGXX,-600,3.05,"1,830.00","+400,862.23",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,DGXX,-700,3.04,"2,128.00","+399,032.23",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,DGXX,"-1,300",3.05,"3,965.13","+396,904.23",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,DGXX,"-7,400",3.03,"22,422.00","+392,939.10",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,DFLVX,-374.937,52.72,"19,766.68","+370,517.10",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,CRWD,-124,498.35,"61,795.40","+350,750.42",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,CLS,-253,248.93,"62,980.35","+288,955.02",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,AVGO,-181,331.51,"60,003.31","+225,974.67",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,ALAB,-500,216.09,"108,047.35","+165,971.36",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,FLEX,-100,57.25,"5,725.00","+57,924.01",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,FLEX,-150,57.23,"8,584.50","+52,199.01",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-10-2025,YOU SOLD,FLEX,-500,57.24,"28,620.00","+43,614.51",--,--,2_DC Rollover IRA *4915,Oct-14-2025,Cash
Oct-9-2025,YOU SOLD,MSFT,-100,521.98,"52,197.50","+14,994.51",--,--,2_DC Rollover IRA *4915,Oct-10-2025,Cash
Oct-9-2025,YOU BOUGHT,ALAB,275,224.31,"-61,685.25","-37,202.99",--,--,2_DC Rollover IRA *4915,Oct-10-2025,Cash
Oct-9-2025,YOU BOUGHT,ALAB,225,228.84,"-51,487.88","+24,482.26",--,--,2_DC Rollover IRA *4915,Oct-10-2025,Cash
Oct-9-2025,YOU SOLD,GOOGL,-230,242.13,"55,689.44","+75,970.14",--,--,2_DC Rollover IRA *4915,Oct-10-2025,Cash
Oct-8-2025,YOU BOUGHT,ZS,203,309.42,"-62,812.81","+20,280.70",--,--,2_DC Rollover IRA *4915,Oct-9-2025,Cash
Oct-8-2025,YOU BOUGHT,NVDA,354,188.81,"-66,838.70","+83,093.51",--,--,2_DC Rollover IRA *4915,Oct-9-2025,Cash
Oct-8-2025,YOU BOUGHT,CRWD,124,504.91,"-62,608.84","+149,932.21",--,--,2_DC Rollover IRA *4915,Oct-9-2025,Cash
Oct-8-2025,YOU BOUGHT,CLS,253,248.99,"-62,993.53","+212,541.05",--,--,2_DC Rollover IRA *4915,Oct-9-2025,Cash
Oct-8-2025,YOU BOUGHT,AVGO,181,340.91,"-61,703.91","+275,534.58",--,--,2_DC Rollover IRA *4915,Oct-9-2025,Cash
Oct-8-2025,YOU BOUGHT,FLEX,500,59.71,"-29,854.50","+337,238.49",--,--,2_DC Rollover IRA *4915,Oct-9-2025,Cash
Oct-8-2025,YOU BOUGHT,FLEX,250,59.83,"-14,958.63","+367,092.99",--,--,2_DC Rollover IRA *4915,Oct-9-2025,Cash
Oct-7-2025,YOU SOLD,DASH,-0.605,276.69,167.40,"+382,051.62",--,--,2_DC Rollover IRA *4915,Oct-8-2025,Cash
Oct-7-2025,YOU SOLD,DASH,-213,273.05,"58,160.50","+381,884.22",--,--,2_DC Rollover IRA *4915,Oct-8-2025,Cash
Oct-7-2025,YOU SOLD,DASH,-213,276.72,"58,941.89","+323,723.72",--,--,2_DC Rollover IRA *4915,Oct-8-2025,Cash
Oct-7-2025,YOU SOLD,BWXT,-300,190.21,"57,061.50","+264,781.83",--,--,2_DC Rollover IRA *4915,Oct-8-2025,Cash
Oct-6-2025,YOU SOLD,PHM,-0.315,134.28,42.30,"+207,720.33",--,--,2_DC Rollover IRA *4915,Oct-7-2025,Cash
Oct-6-2025,YOU SOLD,PHM,-380,135.70,"51,566.04","+207,678.03",--,--,2_DC Rollover IRA *4915,Oct-7-2025,Cash
Oct-6-2025,YOU SOLD,PHM,-389,134.28,"52,234.92","+156,111.99",--,--,2_DC Rollover IRA *4915,Oct-7-2025,Cash
Oct-6-2025,YOU BOUGHT,MSFT,100,529.30,"-52,930.00","+103,877.07",--,--,2_DC Rollover IRA *4915,Oct-7-2025,Cash
Oct-6-2025,YOU BOUGHT,DASH,226,282.43,"-63,829.18","+156,807.07",--,--,2_DC Rollover IRA *4915,Oct-7-2025,Cash
Oct-6-2025,YOU BOUGHT,DASH,200,276.40,"-55,281.01","+220,636.25",--,--,2_DC Rollover IRA *4915,Oct-7-2025,Cash
Oct-6-2025,YOU BOUGHT,DASH,0.605,282.43,-170.87,"+275,917.26",--,--,2_DC Rollover IRA *4915,Oct-7-2025,Cash
Oct-6-2025,YOU SOLD,DHI,-0.084,172.24,14.47,"+276,088.13",--,--,2_DC Rollover IRA *4915,Oct-7-2025,Cash
Oct-6-2025,YOU SOLD,DHI,-255,171.06,"43,619.91","+276,073.66",--,--,2_DC Rollover IRA *4915,Oct-7-2025,Cash
Oct-6-2025,YOU SOLD,DHI,-258,172.28,"44,448.24","+232,453.75",--,--,2_DC Rollover IRA *4915,Oct-7-2025,Cash
Oct-6-2025,YOU BOUGHT,BWXT,300,192.94,"-57,883.50","+188,005.51",--,--,2_DC Rollover IRA *4915,Oct-7-2025,Cash
Oct-6-2025,YOU BOUGHT,GOOGL,230,247.65,"-56,959.50","+245,889.01",--,--,2_DC Rollover IRA *4915,Oct-7-2025,Cash
Oct-3-2025,YOU BOUGHT,PHM,472,137.57,"-64,935.40","+302,848.51",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-3-2025,YOU BOUGHT,PHM,0.006,137.57,-0.83,"+367,783.91",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-3-2025,YOU SOLD,PLTR,-0.243,181.23,44.04,"+367,784.74",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-3-2025,YOU SOLD,PLTR,-59,174.47,"10,293.73","+367,740.70",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-3-2025,YOU SOLD,PLTR,-61,174.48,"10,643.28","+357,446.97",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-3-2025,YOU SOLD,PLTR,-123,181.24,"22,292.03","+346,803.69",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-3-2025,YOU BOUGHT,DHI,513,175.23,"-89,893.30","+324,511.66",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-3-2025,YOU BOUGHT,DHI,0.084,175.25,-14.72,"+414,404.96",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-3-2025,YOU SOLD,BWXT,-0.828,185.56,153.65,"+414,419.68",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-3-2025,YOU SOLD,BWXT,-240,185.72,"44,572.80","+414,266.03",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-3-2025,YOU SOLD,ALAB,-0.21,201.44,42.30,"+369,693.23",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-3-2025,YOU SOLD,ALAB,-219,201.44,"44,115.36","+369,650.93",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-3-2025,YOU SOLD,ALAB,-219,203.60,"44,588.40","+325,535.57",--,--,2_DC Rollover IRA *4915,Oct-6-2025,Cash
Oct-2-2025,YOU SOLD,PFE,-750,26.73,"20,043.75","+280,947.17",--,--,2_DC Rollover IRA *4915,Oct-3-2025,Cash
Oct-2-2025,YOU SOLD,AVGO,-140,340.05,"47,607.00","+260,903.42",--,--,2_DC Rollover IRA *4915,Oct-3-2025,Cash
Oct-2-2025,YOU SOLD,BWXT,-237,184.29,"43,677.92","+213,296.42",--,--,2_DC Rollover IRA *4915,Oct-3-2025,Cash
Oct-2-2025,YOU BOUGHT,ALAB,221,201.33,"-44,493.02","+169,618.50",--,--,2_DC Rollover IRA *4915,Oct-3-2025,Cash
Oct-2-2025,YOU BOUGHT,ALAB,216,207.83,"-44,891.73","+214,111.52",--,--,2_DC Rollover IRA *4915,Oct-3-2025,Cash
Oct-2-2025,YOU BOUGHT,ALAB,0.697,201.43,-140.40,"+259,003.25",--,--,2_DC Rollover IRA *4915,Oct-3-2025,Cash
Oct-2-2025,YOU BOUGHT,ALAB,0.513,207.84,-106.62,"+259,143.65",--,--,2_DC Rollover IRA *4915,Oct-3-2025,Cash
Oct-2-2025,YOU SOLD,GOOGL,-180,244.57,"44,022.60","+259,250.27",--,--,2_DC Rollover IRA *4915,Oct-3-2025,Cash
Oct-1-2025,YOU BOUGHT,PHM,297,134.54,"-39,958.38","+215,227.67",--,--,2_DC Rollover IRA *4915,Oct-2-2025,Cash
Oct-1-2025,YOU BOUGHT,PHM,0.309,134.51,-41.56,"+255,186.05",--,--,2_DC Rollover IRA *4915,Oct-2-2025,Cash
Oct-1-2025,YOU BOUGHT,PLTR,243,184.94,"-44,941.64","+255,227.61",--,--,2_DC Rollover IRA *4915,Oct-2-2025,Cash
Oct-1-2025,YOU BOUGHT,PLTR,0.243,184.94,-44.94,"+300,169.25",--,--,2_DC Rollover IRA *4915,Oct-2-2025,Cash
Oct-1-2025,YOU BOUGHT,AVGO,140,336.99,"-47,178.10","+300,214.19",--,--,2_DC Rollover IRA *4915,Oct-2-2025,Cash
Oct-1-2025,YOU BOUGHT,BWXT,250,187.01,"-46,752.48","+347,392.29",--,--,2_DC Rollover IRA *4915,Oct-2-2025,Cash
Oct-1-2025,YOU BOUGHT,GOOGL,180,244.56,"-44,021.54","+394,144.77",--,--,2_DC Rollover IRA *4915,Oct-2-2025,Cash
Sep-30-2025,REINVESTMENT REINVEST @ $1.000,FDRXX,636.24,1.00,-636.24,"+438,166.31",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,DIVIDEND RECEIVED,FDRXX,--,--,636.24,"+438,166.31",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,REINVESTMENT REINVEST @ $26.7900AS OF 09/29/25,DFIVX,7.872,26.79,-210.88,"+437,530.07",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,DIVIDEND RECEIVED,DFIVX,--,--,210.88,"+437,740.95",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,REINVESTMENT REINVEST @ $53.9400AS OF 09/29/25,DFLVX,3.417,53.94,-184.33,"+437,530.07",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,DIVIDEND RECEIVED,DFLVX,--,--,184.33,"+437,714.40",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,REINVESTMENT REINVEST @ $36.0900AS OF 09/29/25,DFFVX,2.03,36.09,-73.28,"+437,530.07",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,DIVIDEND RECEIVED,DFFVX,--,--,73.28,"+437,603.35",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,REINVESTMENT REINVEST @ $42.9600AS OF 09/29/25,DUSLX,1.308,42.96,-56.18,"+437,530.07",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,DIVIDEND RECEIVED,DUSLX,--,--,56.18,"+437,586.25",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,REINVESTMENT REINVEST @ $30.2700AS OF 09/29/25,DSCGX,1.216,30.27,-36.80,"+437,530.07",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,DIVIDEND RECEIVED,DSCGX,--,--,36.80,"+437,566.87",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,DIVIDEND RECEIVED,AVGO,--,--,70.80,"+437,530.07",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-30-2025,YOU BOUGHT,PFE,"1,500",24.66,"-36,995.25","+437,459.27",--,--,2_DC Rollover IRA *4915,Oct-1-2025,Cash
Sep-30-2025,YOU SOLD,PFE,-750,25.26,"18,945.00","+474,454.52",--,--,2_DC Rollover IRA *4915,Oct-1-2025,Cash
Sep-30-2025,YOU SOLD,DY,-0.78,289.39,225.72,"+455,509.52",--,--,2_DC Rollover IRA *4915,Oct-1-2025,Cash
Sep-30-2025,YOU SOLD,DY,-136,289.40,"39,359.08","+455,283.80",--,--,2_DC Rollover IRA *4915,Oct-1-2025,Cash
Sep-30-2025,YOU SOLD,DASH,-70,267.90,"18,753.25","+415,924.72",--,--,2_DC Rollover IRA *4915,Oct-1-2025,Cash
Sep-30-2025,YOU SOLD,DASH,-100,267.61,"26,761.00","+397,171.47",--,--,2_DC Rollover IRA *4915,Oct-1-2025,Cash
Sep-29-2025,YOU BOUGHT,DY,136,292.75,"-39,813.32","+370,410.47",--,--,2_DC Rollover IRA *4915,Sep-30-2025,Cash
Sep-29-2025,YOU BOUGHT,DY,0.78,292.79,-228.38,"+410,223.79",--,--,2_DC Rollover IRA *4915,Sep-30-2025,Cash
Sep-29-2025,YOU BOUGHT,DASH,170,271.48,"-46,151.58","+410,452.17",--,--,2_DC Rollover IRA *4915,Sep-30-2025,Cash
Sep-26-2025,YOU SOLD,PLTR,-221,176.17,"38,933.59","+456,603.75",--,--,2_DC Rollover IRA *4915,Sep-29-2025,Cash
Sep-26-2025,YOU BOUGHT,BWXT,227,179.95,"-40,848.65","+417,670.16",--,--,2_DC Rollover IRA *4915,Sep-29-2025,Cash
