"Closed Positions 
2_DC Rollover IRA *4915 
as of 02/05/2026 at 07:58:45 PM"

Symbol,Description,Quantity,$ Cost,$ Proceeds,$ Short-term G/L,$ Long-term G/L,$ Total G/L,Avg Cost,Avg Proceeds,Last,Account
AMAT,APPLIED MATERIALS INC COM USD0.01,100,13842.19,"13,717.11",0.00,-125.08,-125.08,138.42,137.17,303.99,2_DC Rollover IRA *4915
FBGRX,FIDELITY BLUE CHIP GROWTH,607.844,11868.5,"134,163.33",0.00,"122,294.83","122,294.83",19.53,220.72,257.37,2_DC Rollover IRA *4915
INCY,INCYTE CORP,119,10019.8,"10,232.81",0.00,213.01,213.01,84.20,85.99,102.76,2_DC Rollover IRA *4915
FDGRX,FIDELITY GROWTH COMPANY,744.426,2137.39,"29,107.06",0.00,"26,969.67","26,969.67",2.87,39.10,47.41,2_DC Rollover IRA *4915
ORCL,ORACLE CORP,791.673,217725.4,"212,240.20",0.00,"-5,485.20","-5,485.20",275.02,268.09,136.48,2_DC Rollover IRA *4915
JPM,JPMORGAN CHASE &CO. COM,180,50474.25,"51,867.26",0.00,"1,393.01","1,393.01",280.41,288.15,310.16,2_DC Rollover IRA *4915
PFE,PFIZER INC,4500,111920.25,"112,562.15",0.00,641.90,641.90,24.87,25.01,26.49,2_DC Rollover IRA *4915
URBN,URBAN OUTFITTERS INC,1499.418,115281.11,"112,664.05",0.00,"-2,617.06","-2,617.06",76.88,75.14,71.16,2_DC Rollover IRA *4915
AEO,AMERICAN EAGLE OUTFITTERS INC COM,1870.657,35043.96,"35,461.11",0.00,417.15,417.15,18.73,18.96,23.09,2_DC Rollover IRA *4915
VICR,VICOR CORP,300,34176.63,"32,946.00",0.00,"-1,230.63","-1,230.63",113.92,109.82,148.185,2_DC Rollover IRA *4915
AIR,AAR CORP,150,12597,"11,494.50",0.00,"-1,102.50","-1,102.50",83.98,76.63,106.87,2_DC Rollover IRA *4915
IBM,INTERNATIONAL BUS MACH CORP COM USD0.20,192.845,59975.48,"60,033.68",0.00,58.20,58.20,311.00,311.31,289.89,2_DC Rollover IRA *4915
MSFT,MICROSOFT CORP,100,52930,"52,197.50",0.00,-732.50,-732.50,529.30,521.98,393.67,2_DC Rollover IRA *4915
WFC,WELLS FARGO CO NEW COM,450,34659.38,"31,159.57",0.00,"-3,499.81","-3,499.81",77.02,69.24,92.01,2_DC Rollover IRA *4915
GD,GENERAL DYNAMICS CORP COM,60,16271.4,"16,099.95",0.00,-171.45,-171.45,271.19,268.33,352.05,2_DC Rollover IRA *4915
